system,utt_id,speaker_id,age_band,wer,cer
mms-1b-all,5348024557515132_chunk_1_enhanced,S4259723800397320,control,0.6363636363636364,0.18518518518518517
mms-1b-all,5348024557515136_chunk_1_enhanced,S4259723800397320,control,0.4375,0.075
mms-1b-all,5348024557515151_chunk_1_enhanced,S4259723800397320,control,0.43478260869565216,0.15422885572139303
mms-1b-all,5348024557515165_chunk_1_enhanced,S4259723800397320,control,0.39285714285714285,0.2391304347826087
mms-1b-all,5348024557515165_chunk_7_enhanced,S4259723800397320,control,0.43333333333333335,0.15862068965517243
mms-1b-all,5348024557515174_chunk_3_enhanced,S4259723800397320,control,0.26666666666666666,0.12698412698412698
mms-1b-all,5348024557515175_chunk_1_enhanced,S4259723800397320,control,0.5,0.20441988950276244
mms-1b-all,5348024557515190_chunk_1_enhanced,S4256343500322905,control,0.09090909090909091,0.061224489795918366
mms-1b-all,5348024557515212_chunk_1_enhanced,S4256343500322905,control,0.23684210526315788,0.059880239520958084
mms-1b-all,5348024557515227_chunk_6_enhanced,S4256343500322905,control,0.11538461538461539,0.0546875
mms-1b-all,5348024557515232_chunk_2_enhanced,S4256343500322905,control,0.37142857142857144,0.13924050632911392
mms-1b-all,5348024557515235_chunk_7_enhanced,S4256343500322905,control,0.3157894736842105,0.10179640718562874
mms-1b-all,5348024557515240_chunk_1_enhanced,S4256343500322905,control,0.38461538461538464,0.0945945945945946
mms-1b-all,5348024557515240_chunk_3_enhanced,S4256343500322905,control,0.6666666666666666,0.27941176470588236
mms-1b-all,5348024557515242_chunk_1_enhanced,S4256343500322905,control,0.16666666666666666,0.05333333333333334
mms-1b-all,5348024557515244_chunk_6_enhanced,S4256343500322905,control,0.17142857142857143,0.10559006211180125
mms-1b-all,5348024557515548_chunk_1_enhanced,S4258827400305876,control,0.6428571428571429,0.12857142857142856
mms-1b-all,5348024557515571_chunk_5_enhanced,S4258827400305876,control,0.6666666666666666,0.42857142857142855
mms-1b-all,5348024557515572_chunk_2_enhanced,S4258827400305876,control,0.43478260869565216,0.1111111111111111
mms-1b-all,5348024557515577_chunk_1_enhanced,S4258827400305876,control,0.2,0.03571428571428571
mms-1b-all,5348024557515584_chunk_5_enhanced,S4258827400305876,control,0.16666666666666666,0.028846153846153848
mms-1b-all,5348024557515584_chunk_6_enhanced,S4258827400305876,control,0.23076923076923078,0.03389830508474576
mms-1b-all,5348024557515586_chunk_3_enhanced,S4258827400305876,control,0.11538461538461539,0.05982905982905983
mms-1b-all,5348024557515586_chunk_7_enhanced,S4258827400305876,control,0.30434782608695654,0.08602150537634409
mms-1b-all,5348024557515588_chunk_1_enhanced,S4258827400305876,control,0.2222222222222222,0.07317073170731707
mms-1b-all,5348024557515589_chunk_1_enhanced,S4258827400305876,control,0.45454545454545453,0.2
mms-1b-all,5348024557515590_chunk_2_enhanced,S4258827400305876,control,0.1111111111111111,0.023809523809523808
mms-1b-all,5348024557515591_chunk_1_enhanced,S4258827400305876,control,0.16666666666666666,0.10909090909090909
mms-1b-all,5348024557515592_chunk_3_enhanced,S4258827400305876,control,0.20930232558139536,0.07142857142857142
mms-1b-all,5348024557515593_chunk_5_enhanced,S4258827400305876,control,0.5555555555555556,0.18072289156626506
mms-1b-all,5348024557515598_chunk_3_enhanced,S4258827400305876,control,0.25,0.0990990990990991
mms-1b-all,5348024557515601_chunk_3_enhanced,S4258827400305876,control,0.25,0.05154639175257732
mms-1b-all,5348024557516676_chunk_1_enhanced,S4257709800347002,control,0.3333333333333333,0.047619047619047616
mms-1b-all,5348024557516690_chunk_1_enhanced,S4257709800347002,control,0.3409090909090909,0.14213197969543148
mms-1b-all,5348024557516693_chunk_4_enhanced,S4257709800347002,control,0.8,0.2777777777777778
mms-1b-all,5348024557516702_chunk_1_enhanced,S4257709800347002,control,0.3333333333333333,0.09565217391304348
mms-1b-all,5348024557516705_chunk_4_enhanced,S4257709800347002,control,0.21153846153846154,0.05907172995780591
mms-1b-all,5348024557516707_chunk_2_enhanced,S4257709800347002,control,0.5555555555555556,0.20833333333333334
mms-1b-all,5348024557516709_chunk_5_enhanced,S4257709800347002,control,0.42105263157894735,0.18333333333333332
mms-1b-all,5348024557516709_chunk_9_enhanced,S4257709800347002,control,0.2777777777777778,0.10416666666666667
mms-1b-all,5348024557516710_chunk_1_enhanced,S4257709800347002,control,0.2857142857142857,0.09302325581395349
mms-1b-all,5348024557516711_chunk_3_enhanced,S4257709800347002,control,0.2571428571428571,0.1308139534883721
mms-1b-all,5348024557516712_chunk_2_enhanced,S4257709800347002,control,0.1875,0.06329113924050633
mms-1b-all,5348024557516715_chunk_3_enhanced,S4257709800347002,control,0.1794871794871795,0.07100591715976332
mms-1b-all,5348024557516717_chunk_2_enhanced,S4257709800347002,control,0.2857142857142857,0.07936507936507936
mms-1b-all,5348024557516718_chunk_1_enhanced,S4257709800347002,control,0.2222222222222222,0.08088235294117647
mms-1b-all,5348024557516718_chunk_2_enhanced,S4257709800347002,control,0.28,0.16260162601626016
mms-1b-all,5348024557517753_chunk_1_enhanced,S4256035000336645,control,0.0,0.0
mms-1b-all,5348024557517776_chunk_4_enhanced,S4256035000336645,control,0.25,0.2
mms-1b-all,5348024557517777_chunk_5_enhanced,S4256035000336645,control,0.0,0.0
mms-1b-all,5348024557517778_chunk_1_enhanced,S4256035000336645,control,0.42857142857142855,0.205607476635514
mms-1b-all,5348024557517778_chunk_5_enhanced,S4256035000336645,control,0.6363636363636364,0.2037037037037037
mms-1b-all,5348024557517778_chunk_8_enhanced,S4256035000336645,control,0.2222222222222222,0.10101010101010101
mms-1b-all,5348024557517779_chunk_2_enhanced,S4256035000336645,control,0.4,0.16352201257861634
mms-1b-all,5348024557517784_chunk_3_enhanced,S4256035000336645,control,1.5,0.5454545454545454
