system,utt_id,speaker_id,age_band,duration,wer,cer,divergence,substitutions,deletions,insertions,hits,ref_words,hyp_words,speaking_rate
mms-1b-all,5348024557514912_chunk_7_enhanced,S4259390600311126,control,11.565,0.41025641025641024,0.15760869565217392,0.2526477146042363,9,5,2,25,39,36,3.372243839169909
mms-1b-all,5348024557514913_chunk_4_enhanced,S4259390600311126,control,9.8560208333,0.25925925925925924,0.05785123966942149,0.20140801958983776,6,1,0,20,27,26,2.7394422614019414
mms-1b-all,5348024557514913_chunk_5_enhanced,S4259390600311126,control,5.0550208333,0.25,0.05555555555555555,0.19444444444444445,4,0,0,12,16,16,3.1651699424461004
mms-1b-all,5348024557514913_chunk_6_enhanced,S4259390600311126,control,15.4980208333,0.23076923076923078,0.09036144578313253,0.14040778498609824,7,1,1,31,39,39,2.5164503532091147
mms-1b-all,5348024557514913_chunk_7_enhanced,S4259390600311126,control,12.0640208333,0.15625,0.04411764705882353,0.11213235294117646,3,2,0,27,32,30,2.652515313275259
mms-1b-all,5348024557514994_chunk_1_enhanced,S4258425400339510,control,6.6180208333,0.0,0.0,0.0,0,0,0,14,14,14,2.115436072602851
mms-1b-all,5348024557514995_chunk_1_enhanced,S4258425400339510,control,5.4390208333,0.0,0.0,0.0,0,0,0,13,13,13,2.3901360922187442
mms-1b-all,5348024557515003_chunk_1_enhanced,S4258425400339510,control,2.493,0.2,0.04,0.16,1,0,0,4,5,5,2.0056157240272765
mms-1b-all,5348024557515008_chunk_1_enhanced,S4258425400339510,control,16.926,0.20833333333333334,0.05785123966942149,0.15048209366391185,4,1,0,19,24,23,1.4179369018078696
mms-1b-all,5348024557515025_chunk_1_enhanced,S4258425400339510,control,1.536,0.6,0.08333333333333333,0.5166666666666666,2,0,1,3,5,6,3.2552083333333335
mms-1b-all,5348024557515027_chunk_2_enhanced,S4258425400339510,control,1.268,0.5,0.1111111111111111,0.3888888888888889,1,0,0,1,2,2,1.5772870662460567
mms-1b-all,5348024557515028_chunk_6_enhanced,S4258425400339510,control,2.686,1.0,0.8,0.19999999999999996,3,2,0,0,5,3,1.8615040953090096
mms-1b-all,5348024557515044_chunk_13_enhanced,S4258425400339510,control,1.6850208333,0.25,0.058823529411764705,0.19117647058823528,1,0,0,3,4,4,2.3738578900334835
mms-1b-all,5348024557515044_chunk_15_enhanced,S4258425400339510,control,8.5490208333,0.23076923076923078,0.08196721311475409,0.1488020176544767,3,0,0,10,13,13,1.5206419838588556
mms-1b-all,5348024557515044_chunk_2_enhanced,S4258425400339510,control,10.2990208333,0.15,0.047058823529411764,0.10294117647058823,3,0,0,17,20,20,1.9419321820705187
mms-1b-all,5348024557515045_chunk_15_enhanced,S4258425400339510,control,8.8570208333,0.5333333333333333,0.136986301369863,0.3963470319634703,6,2,0,7,15,13,1.693571719240409
mms-1b-all,5348024557515045_chunk_4_enhanced,S4258425400339510,control,5.084,0.4,0.10638297872340426,0.2936170212765958,3,1,0,6,10,9,1.966955153422502
mms-1b-all,5348024557515045_chunk_5_enhanced,S4258425400339510,control,9.126,0.2222222222222222,0.0967741935483871,0.12544802867383512,5,0,1,22,27,28,2.9585798816568047
mms-1b-all,5348024557515046_chunk_5_enhanced,S4258425400339510,control,2.6260208333,0.0,0.0,0.0,0,0,0,7,7,7,2.665630032798872
mms-1b-all,5348024557515052_chunk_1_enhanced,S4258425400339510,control,3.5700208333,0.3333333333333333,0.08,0.2533333333333333,2,0,0,4,6,6,1.6806624611357839
mms-1b-all,5348024557515053_chunk_7_enhanced,S4258425400339510,control,6.782,0.16666666666666666,0.03508771929824561,0.13157894736842105,2,0,0,10,12,12,1.7693895606015924
mms-1b-all,5348024557515131_chunk_1_enhanced,S4259723800397320,control,4.8990208333,0.35714285714285715,0.1774193548387097,0.17972350230414746,4,1,0,9,14,13,2.8577139139393175
mms-1b-all,5348024557515132_chunk_1_enhanced,S4259723800397320,control,4.951,0.6363636363636364,0.14814814814814814,0.4882154882154882,6,1,0,4,11,10,2.2217733791153305
mms-1b-all,5348024557515136_chunk_1_enhanced,S4259723800397320,control,6.431,0.4375,0.075,0.3625,4,1,2,11,16,17,2.4879489970455606
mms-1b-all,5348024557515151_chunk_1_enhanced,S4259723800397320,control,15.896,0.45652173913043476,0.16336633663366337,0.2931554024967714,19,2,0,25,46,44,2.893809763462506
mms-1b-all,5348024557515165_chunk_1_enhanced,S4259723800397320,control,11.871,0.5,0.2714285714285714,0.2285714285714286,14,0,0,14,28,28,2.358689242692275
