system,metric,cohens_d_normalized,rank_biserial_r,p,p_BH,cohens_d_verbatim,direction
mms-1b-all,wer,0.016095736193998112,0.06334384858044162,0.4719428756968864,0.5393632865107273,0.044354627876060454,same sign
mms-1b-all,cer,0.003199593588415028,0.08164037854889594,0.35377040661457615,0.47169387548610153,0.01931948908095019,same sign
indicconformer-600m-multilingual,wer,-0.10574883936999373,-0.036466876971608886,0.679015411752522,0.679015411752522,-0.09436829469321299,same sign
indicconformer-600m-multilingual,cer,-0.09609937021773733,-0.10195583596214508,0.24677040446208176,0.3948326471393308,-0.09330180951378583,same sign
whisper-large-v3,wer,-0.030010517448809136,0.1308626198083067,0.13741327849395688,0.27482655698791375,-0.01605811603385948,same sign
whisper-large-v3,cer,-0.050401836848165384,0.17865814696485627,0.04252850229424384,0.11380468517936444,-0.04525717217311424,same sign
indicwhisper-hindi,wer,0.13604610214066543,0.17853035143769969,0.04267675694226167,0.11380468517936444,0.13926702361969434,same sign
indicwhisper-hindi,cer,0.1805485722675016,0.1858146964856231,0.03489379605171042,0.11380468517936444,0.1874273023894087,same sign
