system,n_clips,n_degenerate,degenerate_rate,avg_duration_degenerate,avg_duration_normal
mms-1b-all,7686,26,0.0033827738745771533,2.7706634615230765,9.745846698198093
indicconformer-600m-multilingual,7686,7,0.0009107468123861566,4.6860089285571425,9.726842153365945
whisper-large-v3,4807,22,0.004576659038901602,8.844421401495454,9.681897544392289
indicwhisper-hindi,4807,344,0.07156230497191596,6.667174115774709,9.910138723935358
